subject,with_brown_rules,prompt_type,poem_text,ai_vector,brown_sim_1,brown_sim_2,brown_sim_3,brown_sim_4,brown_sim_5,average_similarity_score
trees and flowers,True,figurative,"The place I love is carved from loss and green,  
A quiet shadow where my heart has been.  

A quiet shadow where my heart has been,  
Its edges bend where whispers once were thin.  

Its edges bend where whispers once were thin,  
A patient keeper of the world within.  

A patient keeper of the world within,  
Its breath is soft, though time is thick with sin.  

Its breath is soft, though time is thick with sin,  
Still roots take hold where new life must begin.  

Still roots take hold where new life must begin,  
Each tender reach defies the earth’s still spin.  

Each tender reach defies the earth's still spin—  
The place I love is carved from loss and green.  ","[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 6 0 0 4 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 6 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 6 0 2
 0 0 0 0 0]",0.37,0.45,0.34,0.27,0.42,0.37
trees and flowers,True,specific,"Beneath the sycamore, the shade grew wide,  
A place where fractured sunlight dared to bloom.  

A place where fractured sunlight dared to bloom,  
The tulips blushed in shadows strewn like silk.  

The tulips blushed in shadows strewn like silk,  
Each petal trembling, burdened by the breeze.  

Each petal trembling, burdened by the breeze,  
The tree stood watchful, ancient in its stillness.  

The tree stood watchful, ancient in its stillness,  
Its roots, deep veins that drank the earth's own pulse.  

Its roots, deep veins that drank the earth's own pulse,  
Once touched my palm like whispers from the soil.  

Once touched my palm like whispers from the soil,  
I swore the flowers hummed their fleeting joy.  

Beneath the sycamore, the shade grew wide.  ","[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  4  0  0  0  4  0  0  0  0  0  0  4  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0
  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  2 15  0  0  0  0  0  2  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0]",0.32,0.54,0.39,0.4,0.4,0.41
truth,True,general,"The weight of truth is heavy in my hands.  
I did not expect it to feel so sharp.  

I did not expect it to feel so sharp,  
A blade I thought was dull but cuts so clean.  

A blade I thought was dull but cuts so clean,  
It carves my lies and leaves no place to hide.  

It carves my lies and leaves no place to hide,  
The mirror turns and shows what’s left of me.  

The mirror turns and shows what’s left of me—  
A stranger’s face that wears my voice like skin.  

A stranger’s face that wears my voice like skin,  
I call for answers, but the echo fades.  

I call for answers, but the echo fades.  
The weight of truth is heavy in my hands.","[0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 2 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 2 0 4 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
 0 0 6 0 0 2 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0
 0 0 0 0 0 0 0 2 6 0 0 0 0 0 4 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0
 0 0 0 0 0]",0.51,0.52,0.43,0.37,0.53,0.47
truth,True,figurative,"The lie I told grew wings and learned to soar.  
It cast a shadow I could not ignore.  

It cast a shadow I could not ignore,  
A hollow echo through a locked-back door.  

A hollow echo through a locked-back door.  
The sound of whispers craving something more.  

The sound of whispers craving something more,  
They spiral secrets I refuse to store.  

They spiral secrets I refuse to store,  
Each one erodes what once felt just and sure.  

Each one erodes what once felt just and sure,  
A quiet crack, a tremor in the floor.  

A quiet crack, a tremor in the floor,  
The lie I told grew wings and learned to soar.  ","[0 0 0 0 0 0 0 4 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0
 0 0 0 0 0 0 0 0 6 0 2 0 0 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
 0 0 0 0 0]",0.28,0.49,0.43,0.39,0.44,0.41
truth,True,specific,"I found your letter folded against the oak grain.  
The words clung soft, like whispers after rain.  

The words clung soft, like whispers after rain.  
Each line, a bruise I hadn’t dared to name.  

Each line, a bruise I hadn’t dared to name,  
Written in ink that bloomed like hidden shame.  

Written in ink that bloomed like hidden shame,  
Your hand pressed truths I couldn’t bear the same.  

Your hand pressed truths I couldn’t bear the same,  
Tracing regret through dust and fleeting flame.  

Tracing regret through dust and fleeting flame—  
Your voice still burns, though silence stakes its claim.  

Your voice still burns, though silence stakes its claim.  
I found your letter folded against the oak grain.  ","[0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 6 0 0 0 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 6 0]",0.21,0.39,0.32,0.32,0.27,0.3
twilight,True,general,"The sky bruises violet, soft and unsure,  
A muted hymn that quiets the rushing world.  

A muted hymn that quiets the rushing world—  
Its silence lingers where no answers are found.  

Its silence lingers where no answers are found,  
Between the glow of dusk and coming of dark.  

Between the glow of dusk and coming of dark,  
Shadows stretch long, and time forgets its pace.  

Shadows stretch long, and time forgets its pace—  
A fragile stillness hums beneath the stars.  

A fragile stillness hums beneath the stars,  
While hearts weigh memories against the night’s pull.  

While hearts weigh memories against the night’s pull,  
The sky bruises violet, soft and unsure.  ","[ 0  0  0  0  2  0  0  6  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  4  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0
  0  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  2 10  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0]",0.32,0.51,0.34,0.29,0.47,0.39
twilight,True,figurative,"At day's edge, the sky blushes like a fading wound.  
Its colors bruise where light and darkness collide.  

Its colors bruise where light and darkness collide,  
An ache that deepens as the shadows unfold.  

An ache that deepens as the shadows unfold,  
The quiet hum of night begins to take hold.  

The quiet hum of night begins to take hold,  
Whispers linger where day’s voice used to reside.  

Whispers linger where day’s voice used to reside,  
Every breath feels borrowed, caught between two worlds.  

Every breath feels borrowed, caught between two worlds,  
Endings stretch long, yet slip through fingers like smoke.  

Endings stretch long, yet slip through fingers like smoke—  
At day's edge, the sky blushes like a fading wound.  ","[0 0 0 0 0 0 2 2 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 6 0 0 0 0 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0
 0 0 0 0 0]",0.3,0.42,0.43,0.27,0.39,0.36
twilight,True,specific,"The lake held twilight, a mirror turned to flame.  
Its surface burned though the night refused to fall.  

Its surface burned though the night refused to fall,  
Darkness trembling like breath smudged on the glass.  

Darkness trembling like breath smudged on the glass,  
The day exhaled, its edges breaking apart.  

The day exhaled, its edges breaking apart,  
Leaves caught the wind’s hymn, soft as time slipping.  

Leaves caught the wind’s hymn, soft as time slipping,  
Our shadows stretched low, bending toward silence.  

Our shadows stretched low, bending toward silence,  
How still we became, our faces kissed by dusk.  

How still we became, our faces kissed by dusk—  
The lake held twilight, a mirror turned to flame.  ","[ 0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  2  0  0  0  0  0  0  4  0  0  0  2  0  0  2  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  2  0  0  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0 10  0  0  0  2  0  4  0  2  0  0  0
  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0]",0.26,0.45,0.32,0.3,0.34,0.34
urban environment,True,general,"The city hums, a beast that never sleeps,  
Its growl a hymn to lives stacked wall on wall.  

Its growl a hymn to lives stacked wall on wall,  
Windows blink like eyes—watching, yet unseen.  

Windows blink like eyes—watching, yet unseen,  
The streets exhale, a breath of spilled desire.  

The streets exhale, a breath of spilled desire,  
Trash talk dances where the trains scream underground.  

Trash talk dances where the trains scream underground,  
Graffiti prayers bloom on concrete temples.  

Graffiti prayers bloom on concrete temples,  
Each scrawl a language made of wounds and truths.  

Each scrawl a language made of wounds and truths;  
The city hums, a beast that never sleeps.  ","[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 6 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
 0 0 0 0 0]",0.29,0.49,0.4,0.34,0.44,0.39
urban environment,True,figurative,"City lights blur where the night feels too near.  
The hum of streets whispers love turned to rust.  

The hum of streets whispers love turned to rust,  
A song of metal against fleeting skies.  

A song of metal against fleeting skies,  
Windows reflect the days we’ve left behind.  

Windows reflect the days we’ve left behind,  
Steel skeletons cradle what we call home.  

Steel skeletons cradle what we call home,  
But shadows stretch long where softness once grew.  

But shadows stretch long where softness once grew,  
The alleys breathe loneliness like old smoke.  

The alleys breathe loneliness like old smoke.  
City lights blur where the night feels too near.","[0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 2 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 8 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 2 0 4 0 0
 0 0 0 0 0]",0.34,0.47,0.41,0.39,0.47,0.42
urban environment,True,specific,"Heat clings to concrete, the city's breath is sour.  
The brick walls exhale smoke, a restless power.  

The brick walls exhale smoke, a restless power.  
Graffiti whispers names we’ve tried to forget.  

Graffiti whispers names we’ve tried to forget,  
Their colors bleeding into dusk’s hazy light.  

Their colors bleeding into dusk’s hazy light,  
Like broken glass sparkling underfoot.  

Like broken glass sparkling underfoot,  
The sidewalk remembers every small mistake.  

The sidewalk remembers every small mistake—  
Chewing gum and cigarettes, crushed into seams.  

Chewing gum and cigarettes, crushed into seams,  
Each crack in the pavement tells quiet stories.  

Each crack in the pavement tells quiet stories:  
Heat clings to concrete, the city's breath is sour.  ","[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 8 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
 0 0 0 0 0]",0.27,0.53,0.42,0.43,0.38,0.41
war & conflict,True,general,"The cannons speak in tongues the earth remembers.  
Their words settle like ash in mothers' mouths.  

Their words settle like ash in mothers' mouths,  
A taste of grief that swallows every dawn.  

A taste of grief that swallows every dawn,  
The sky bruised purple by the weight of fire.  

The sky bruised purple by the weight of fire,  
Smoke blooms where flowers once pledged their return.  

Smoke blooms where flowers once pledged their return,  
Each promise buried deep beneath the soil.  

Each promise buried deep beneath the soil,  
The earth gives back lament shaped like a son.  

The earth gives back lament shaped like a son—  
The cannons speak in tongues the earth remembers.  ","[ 0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0
  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  4  0  0  0  0  0  0  0  0  0  0  4  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  2 12  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0]",0.27,0.59,0.42,0.44,0.45,0.43
war & conflict,True,figurative,"The streets grew quiet beneath a heavy gray—  
A silence louder than the guns had been.  

A silence louder than the guns had been,  
It settled in the cracks where voices broke.  

It settled in the cracks where voices broke,  
The air still reeked of things we couldn’t name.  

The air still reeked of things we couldn’t name,  
We learned to hush our grief beneath the ash.  

We learned to hush our grief beneath the ash,  
Each breath of loss tasted of something old.  

Each breath of loss tasted of something old,  
And yet we swallowed it, because we must.  

And yet we swallowed it, because we must—  
The streets grew quiet beneath a heavy gray.  ","[ 0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0
  0  0  0  0  0  0  0  0  0  2  0  0  4  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  6  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  2  0 10  0  0  0  0  0  2  0  0  0  0  0
  0  0  0  0  0  0  0  0  8  0  0  0  0  0  2  0  0  0  0  0  0  0]",0.32,0.52,0.38,0.38,0.49,0.42
war & conflict,True,specific,"The mirror cracks while sunlight bends on the glass.  
This shimmer feels too much like something breaking—  

This shimmer feels too much like something breaking,  
A chorus of bombs hums through an open field.  

A chorus of bombs hums through an open field,  
Where shadows of men fall faster than their prayers.  

Where shadows of men fall faster than their prayers,  
The dirt remembers footprints and bloody hands.  

The dirt remembers footprints and bloody hands,  
Each grain bears a face, a name, a quiet scream.  

Each grain bears a face, a name, a quiet scream,  
Yet I still see my own in this shattered pane.  

Yet I still see my own in this shattered pane,  
The mirror cracks while sunlight bends on the glass.  ","[0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0
 0 0 2 0 0 0 0 0 0 0 4 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 2 0 6 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
 0 0 0 0 0]",0.42,0.62,0.45,0.39,0.53,0.48
weather,True,general,"The storm arrived and stole the sun from the sky.  
Gray clouds whispered secrets to a tired earth.  

Gray clouds whispered secrets to a tired earth,  
Their words a weight that bent the trees like grief.  

Their words a weight that bent the trees like grief,  
Each gust a hymn for things that once could stand.  

Each gust a hymn for things that once could stand,  
Rain traced old wounds against the window’s face.  

Rain traced old wounds against the window’s face,  
A mirror cracking under time’s sharp hand.  

A mirror cracking under time’s sharp hand,  
The storm recedes, but leaves its ghost behind.  

The storm recedes, but leaves its ghost behind—  
A haunting sky, where silence calls for light.  

The storm arrived and stole the sun from the sky.  ","[ 0  0  0  0  2  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  3  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  2  0  1  2  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  2  0  0  0  0  0  4 12  0  0  0  0  0  2  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0]",0.26,0.5,0.34,0.28,0.35,0.35
weather,True,figurative,"The sky broke open, spilling its quiet rage.  
A silence so loud it could swallow the world.  

A silence so loud it could swallow the world,  
Soft as a scream that leaves no trace on the air.  

Soft as a scream that leaves no trace on the air,  
The ground beneath my feet trembled, unsteady.  

The ground beneath my feet trembled, unsteady,  
Each shadow stretching longer, darker, alive.  

Each shadow stretching longer, darker, alive—  
A mirror reflecting something I cannot name.  

A mirror reflecting something I cannot name,  
What shatters to pieces still holds the whole truth.  

What shatters to pieces still holds the whole truth:  
The sky broke open, spilling its quiet rage.  ","[ 0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  2  2  0  0  0  2  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  2  0  0  0
  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0
  0  0  0  0  0  0  0  0  0  0  0  2 10  0  0  0  0  0  2  0  0  0  0  2
  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0]",0.34,0.5,0.33,0.32,0.38,0.37
weather,True,specific,"The storm slammed its fists on the porch at midnight.  
Its rage, a flood that sank the edges of thought.  

Its rage, a flood that sank the edges of thought,  
And left me counting fears in the darkened room.  

I left, counting fears in the darkened room,  
The shadows swayed, thick as unwelcome ghosts.  

The shadows swayed, thick as unwelcome ghosts,  
Each lightning crack sharp as a shouted demand.  

Each lightning crack sharp as a shouted demand—  
The sky unzipped, spilling over shivering ground.  

The sky unzipped, spilling over shivering ground,  
Wind pressed its knuckles hard against the glass.  

Wind pressed its knuckles hard against the glass.  
The storm slammed its fists on the porch at midnight.  ","[ 0  0  0  0  2  0  0  1  0  0  4  2  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0
  0  0  0  0  0  0  0  0  0  2  0  0  0  6  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  2  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  2 14  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]",0.27,0.54,0.32,0.37,0.39,0.38
youth,True,general,"Youth lingers like the echo of a song,  
A melody that fades as days grow long.  

A melody that fades as days grow long,  
Each note held close before it turns all wrong.  

Each note held close before it turns all wrong—  
We sang of love but quiet stole the throng.  

We sang of love but quiet stole the throng,  
Soft nights collapsed beneath a breaking dawn.  

Soft nights collapsed beneath a breaking dawn,  
The stars we wished on slipped away, withdrawn.  

The stars we wished on slipped away, withdrawn—  
Who knew their brightness wasn’t meant to stay?  

Who knew their brightness wasn’t meant to stay?  
Youth lingers like the echo of a song.  ","[0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 6 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 2 0
 0 0 0 0 0]",0.35,0.47,0.45,0.32,0.45,0.41
youth,True,figurative,"I held each morning like a fragile thread.  
The dawn unraveled quicker than I thought.  

The dawn unraveled quicker than I thought,  
Its light slipped past my grasping hands and fled.  

Its light slipped past my grasping hands and fled,  
And shadows grew where once the sun had caught.  

And shadows grew where once the sun had caught,  
A fleeting warmth now cold, but softly spread.  

A fleeting warmth now cold, but softly spread—  
The sky I loved is quiet, streaked with doubt.  

The sky I loved is quiet, streaked with doubt,  
Its vast expanse no longer burns bright red.  

Its vast expanse no longer burns bright red—  
I held each morning like a fragile thread.  ","[0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 2 0 0 4 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 2 0 0 0 0 2 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2
 0 0 0 0 0]",0.4,0.41,0.27,0.28,0.37,0.35
youth,True,specific,"The skateboard rattled loud beneath dim light,  
A song of yearning stretched against the dark.  

A song of yearning stretched against the dark,  
Soft wheels hummed hymns to shadows barely seen.  

Soft wheels hummed hymns to shadows barely seen,  
The pavement kissed your balance, sharp and clean.  

The pavement kissed your balance, sharp and clean,  
While dusk dissolved into the arms of night.  

While dusk dissolved into the arms of night,  
Our plans burned reckless, fragile as this glide.  

Our plans burned reckless, fragile as this glide,  
Chasing youth’s shimmer down an endless street.  

Chasing youth’s shimmer down an endless street,  
The skateboard rattled loud beneath dim light.  ","[0 0 0 0 2 0 2 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 4 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 8 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 2 0]",0.31,0.56,0.42,0.33,0.49,0.42
